@relation Plagio
@attribute 'log_size' numeric
@attribute 'input' numeric
@attribute 'backspace' numeric
@attribute 'test' numeric
@attribute 'error_test' numeric
@attribute 'submition' numeric
@attribute 'navegation' numeric
@attribute 'error_submition' numeric
@attribute 'exercise_time' numeric
@attribute 'plagio' {'sim', 'não'}
@data
349,147,42,1,1,0,119,0,223.0,não
1172,476,323,37,3,2,130,2,1676.0,não
1971,350,80,77,5,3,1032,2,3657.0,não
364,190,46,5,1,6,31,4,366.0,não
877,293,158,16,1,4,146,4,1080.0,não
16,1,0,0,0,0,0,0,10.0,não
701,262,148,24,0,6,25,5,958.0,não
16,1,0,0,0,0,0,0,10.0,não
701,262,148,24,0,6,25,5,958.0,não
285,175,54,1,0,0,13,0,353.0,não
5,1,0,0,0,0,0,0,1.0,não
424,167,56,6,2,0,115,0,358.0,não
1867,637,558,15,4,0,442,0,1206.0,não
636,267,140,2,1,0,118,0,475.0,não
1366,379,134,23,7,0,574,0,1928.0,não
724,339,248,0,0,3,36,3,299.0,não
651,293,102,0,0,0,197,0,240.0,não
361,175,34,0,0,0,7,0,312.0,sim
361,175,34,0,0,0,7,0,312.0,sim
1466,392,360,9,2,31,327,31,1822.0,sim
1466,392,360,9,2,31,327,31,1822.0,sim
1910,756,321,17,5,0,523,0,2125.0,não
298,169,18,3,0,29,12,28,242.0,não
45,9,4,1,0,0,0,0,97.0,sim
45,9,4,1,0,0,0,0,97.0,sim
418,152,112,7,1,0,32,0,716.0,não
418,152,112,7,1,0,32,0,716.0,não
6,1,0,0,0,0,0,0,0.0,sim
6,1,0,0,0,0,0,0,0.0,sim
18,3,0,0,0,1,0,0,58.0,sim
1713,535,460,10,1,0,414,0,1980.0,sim
18,3,0,0,0,1,0,0,58.0,sim
18,3,0,0,0,1,0,0,58.0,sim
1223,702,208,6,0,0,59,0,1309.0,não
1223,702,208,6,0,0,59,0,1309.0,não
416,231,46,2,0,0,64,0,458.0,não
82,36,8,2,1,0,6,0,151.0,não
884,403,250,12,6,3,16,2,833.0,não
884,403,250,12,6,3,16,2,833.0,não
239,136,44,4,0,0,9,0,201.0,não
198,101,5,5,1,0,33,0,356.0,não
201,77,32,1,0,2,14,2,243.0,não
183,97,22,1,0,0,24,0,128.0,não
183,97,22,1,0,0,24,0,128.0,não
12,2,0,0,0,1,0,0,4.0,não
663,327,130,4,0,0,105,0,603.0,não
93,24,2,7,4,0,8,0,246.0,não
535,321,104,3,0,0,36,0,239.0,não
535,321,104,3,0,0,36,0,239.0,não
470,203,54,20,1,0,17,0,482.0,não
440,192,50,3,3,0,124,0,719.0,não
847,418,169,6,0,4,116,4,533.0,não
257,160,45,1,0,0,15,0,118.0,não
145,89,8,8,0,2,2,2,125.0,não
331,167,92,6,0,0,3,0,776.0,não
331,167,92,6,0,0,3,0,776.0,não
393,276,34,2,0,0,14,0,362.0,sim
393,276,34,2,0,0,14,0,362.0,sim
54,11,20,0,0,0,0,0,61.0,não
54,11,20,0,0,0,0,0,61.0,não
852,442,225,0,0,5,56,3,351.0,não
1660,476,469,29,6,9,127,9,1801.0,não
583,253,149,11,15,0,3,0,1191.0,não
289,188,46,3,1,0,7,0,238.0,não
